,EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,OCCGROUP,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,PWDALLCOUNT,VISMINALLCOUNT
33,1507953 Ontario Inc. (Inactive),2015,Full-Time,Provincial,Ontario,Overall,126,107,19,0,2,14
79,1507953 Ontario Inc. (Inactive),2015,Part-Time,Provincial,Ontario,Overall,4,4,0,0,0,0
97,1641-9749 Québec Inc (Inactive),2015,Full-Time,Provincial,Québec,Overall,233,220,13,0,2,3
112,1641-9749 Québec Inc (Inactive),2015,Part-Time,Provincial,Québec,Overall,11,10,1,1,0,0
163,4186397 Canada Inc.,2015,Full-Time,Provincial,British Columbia,Overall,202,184,18,6,5,17
192,4186397 Canada Inc.,2015,Full-Time,Provincial,Alberta,Overall,283,223,60,7,10,16
349,4186397 Canada Inc.,2015,Part-Time,Provincial,British Columbia,Overall,10,5,5,0,0,1
358,4186397 Canada Inc.,2015,Part-Time,Provincial,Alberta,Overall,9,2,7,0,0,1
431,591182 Ontario Ltd.,2015,Full-Time,Provincial,Ontario,Overall,179,166,13,2,2,14
469,591182 Ontario Ltd.,2015,Part-Time,Provincial,Ontario,Overall,28,27,1,3,0,1
531,6422217 Canada Inc.,2015,Full-Time,Provincial,Ontario,Overall,168,118,50,4,2,53
630,6422217 Canada Inc.,2015,Part-Time,Provincial,Ontario,Overall,9,8,1,0,0,4
685,"7922825 Canada Inc., DBA NETRICOM (Inactive)",2015,Full-Time,Provincial,Québec,Overall,89,79,10,0,0,4
804,9736140 Canada Inc.,2015,Full-Time,Provincial,Québec,Overall,121,93,28,2,0,10
911,9736140 Canada Inc.,2015,Part-Time,Provincial,Québec,Overall,15,11,4,0,0,1
962,A.J. Bus Lines Ltd.,2015,Full-Time,Provincial,Ontario,Overall,29,17,12,1,3,1
988,A.J. Bus Lines Ltd.,2015,Part-Time,Provincial,Ontario,Overall,124,46,78,10,3,0
1084,Access Communications Co-operative Limited,2015,Full-Time,Provincial,Saskatchewan,Overall,197,139,58,8,6,21
1207,Access Communications Co-operative Limited,2015,Part-Time,Provincial,Saskatchewan,Overall,82,36,46,2,2,21
1340,ADM Agri-Industries Ltd.,2015,Full-Time,Provincial,Ontario,Overall,210,177,33,8,15,17
1393,ADM Agri-Industries Ltd.,2015,Full-Time,Provincial,Alberta,Overall,181,141,40,10,4,38
1455,ADM Agri-Industries Ltd.,2015,Part-Time,Provincial,Ontario,Overall,4,2,2,0,0,0
1468,ADM Agri-Industries Ltd.,2015,Part-Time,Provincial,Alberta,Overall,4,2,2,0,0,1
1526,Administration portuaire de Montréal,2015,Full-Time,Provincial,Québec,Overall,241,171,70,0,1,6
1661,Aéroports de Montréal,2015,Full-Time,Provincial,Québec,Overall,660,494,166,5,21,47
1764,Aéroports de Montréal,2015,Part-Time,Provincial,Québec,Overall,15,6,9,0,2,6
1835,Aevitas Inc.,2015,Full-Time,Provincial,Ontario,Overall,138,120,18,1,9,7
1881,Aevitas Inc.,2015,Part-Time,Provincial,Ontario,Overall,3,3,0,0,0,0
1935,Agribrands Purina Canada Inc.(See Cargill Limited 006016),2015,Full-Time,Provincial,Ontario,Overall,170,119,51,4,11,3
1980,Agribrands Purina Canada Inc.(See Cargill Limited 006016),2015,Full-Time,Provincial,Québec,Overall,97,69,28,0,9,0
2042,Agribrands Purina Canada Inc.(See Cargill Limited 006016),2015,Part-Time,Provincial,Ontario,Overall,5,2,3,0,0,0
2055,Agribrands Purina Canada Inc.(See Cargill Limited 006016),2015,Part-Time,Provincial,Québec,Overall,2,2,0,0,0,0
2123,AGRIS Co-operative Ltd.,2015,Full-Time,Provincial,Ontario,Overall,108,84,24,2,7,1
2165,AGRIS Co-operative Ltd.,2015,Part-Time,Provincial,Ontario,Overall,12,9,3,0,0,0
2231,Air Canada,2015,Full-Time,Provincial,Ontario,Overall,10403,6315,4088,87,97,2507
2280,Air Canada,2015,Full-Time,Provincial,Québec,Overall,4653,2651,2002,23,33,592
2329,Air Canada,2015,Full-Time,Provincial,Nova Scotia,Overall,339,243,96,4,10,15
2362,Air Canada,2015,Full-Time,Provincial,New Brunswick,Overall,325,128,197,6,7,13
2391,Air Canada,2015,Full-Time,Provincial,Manitoba,Overall,570,267,303,40,11,77
2436,Air Canada,2015,Full-Time,Provincial,British Columbia,Overall,3371,2120,1251,38,42,784
2485,Air Canada,2015,Full-Time,Provincial,Alberta,Overall,1415,818,597,27,35,258
2530,Air Canada,2015,Full-Time,Provincial,Newfoundland and Labrador,Overall,123,85,38,3,4,6
2859,Air Canada,2015,Part-Time,Provincial,Ontario,Overall,935,522,413,5,7,351
2868,Air Canada,2015,Part-Time,Provincial,Québec,Overall,396,214,182,1,1,93
2881,Air Canada,2015,Part-Time,Provincial,Nova Scotia,Overall,71,40,31,3,1,6
2890,Air Canada,2015,Part-Time,Provincial,New Brunswick,Overall,23,15,8,0,0,2
2899,Air Canada,2015,Part-Time,Provincial,Manitoba,Overall,45,25,20,1,0,9
2908,Air Canada,2015,Part-Time,Provincial,British Columbia,Overall,292,195,97,3,0,123
2917,Air Canada,2015,Part-Time,Provincial,Alberta,Overall,232,137,95,5,2,83
2926,Air Canada,2015,Part-Time,Provincial,Newfoundland and Labrador,Overall,36,19,17,1,0,2
3055,Air Creebec Inc.,2015,Full-Time,Provincial,Ontario,Overall,129,92,37,40,6,5
3096,Air Creebec Inc.,2015,Full-Time,Provincial,Québec,Overall,169,102,67,20,2,9
3203,Air Creebec Inc.,2015,Part-Time,Provincial,Ontario,Overall,43,24,19,31,0,1
3220,Air Creebec Inc.,2015,Part-Time,Provincial,Québec,Overall,34,18,16,19,1,1
3287,Air Georgian Limited,2015,Full-Time,Provincial,Ontario,Overall,303,229,74,5,1,79
3394,Air Georgian Limited,2015,Part-Time,Provincial,Ontario,Overall,2,1,1,0,0,1
3457,Air Inuit Ltd/Ltée,2015,Full-Time,Provincial,Québec,Overall,526,360,166,54,2,33
3576,Air Inuit Ltd/Ltée,2015,Part-Time,Provincial,Québec,Overall,109,73,36,82,0,6
3683,Air North Charter & Training Ltd.,2015,Full-Time,Provincial,British Columbia,Overall,205,153,52,2,0,116
3716,Air North Charter & Training Ltd.,2015,Full-Time,Provincial,Yukon,Overall,198,111,87,14,8,20
3831,Air North Charter & Training Ltd.,2015,Part-Time,Provincial,British Columbia,Overall,123,49,74,2,0,69
3852,Air North Charter & Training Ltd.,2015,Part-Time,Provincial,Yukon,Overall,63,35,28,16,2,6
3939,Air Tindi Ltd,2015,Full-Time,Provincial,Northwest Territories,Overall,142,119,23,8,2,12
3997,Air Tindi Ltd,2015,Part-Time,Provincial,Northwest Territories,Overall,18,4,14,11,0,1
4063,Air Transat inc.,2015,Full-Time,Provincial,Ontario,Overall,701,334,367,14,12,115
4104,Air Transat inc.,2015,Full-Time,Provincial,Québec,Overall,1325,711,614,12,15,103
4157,Air Transat inc.,2015,Full-Time,Provincial,British Columbia,Overall,201,61,140,4,3,43
4322,Air Transat inc.,2015,Part-Time,Provincial,Québec,Overall,28,8,20,0,0,5
4389,Airbus Helicopters Canada Limited,2015,Full-Time,Provincial,Ontario,Overall,201,144,57,6,1,11
4487,Airport Terminal Services Canadian Co.,2015,Full-Time,Provincial,Ontario,Overall,116,58,58,0,0,19
4512,Airport Terminal Services Canadian Co.,2015,Full-Time,Provincial,Québec,Overall,61,56,5,0,0,3
4537,Airport Terminal Services Canadian Co.,2015,Full-Time,Provincial,Manitoba,Overall,34,33,1,0,1,4
4562,Airport Terminal Services Canadian Co.,2015,Full-Time,Provincial,Alberta,Overall,324,244,80,5,2,45
4761,Airport Terminal Services Canadian Co.,2015,Part-Time,Provincial,Ontario,Overall,79,48,31,1,0,17
4770,Airport Terminal Services Canadian Co.,2015,Part-Time,Provincial,Québec,Overall,60,51,9,1,1,13
4779,Airport Terminal Services Canadian Co.,2015,Part-Time,Provincial,Manitoba,Overall,86,71,15,3,1,37
4788,Airport Terminal Services Canadian Co.,2015,Part-Time,Provincial,Alberta,Overall,185,82,103,4,2,44
4941,Algoma Central Corporation,2015,Full-Time,Provincial,Ontario,Overall,1011,932,79,25,18,92
5003,ALL Communications Network,2015,Full-Time,Provincial,Québec,Overall,177,132,45,0,0,40
5062,ALL Communications Network,2015,Part-Time,Provincial,Québec,Overall,4,1,3,0,0,1
5113,All-Can Express Ltd.,2015,Full-Time,Provincial,British Columbia,Overall,363,279,84,14,6,59
5142,All-Can Express Ltd.,2015,Full-Time,Provincial,Alberta,Overall,112,89,23,2,2,29
5205,All-Can Express Ltd.,2015,Part-Time,Provincial,British Columbia,Overall,50,46,4,0,2,16
5214,All-Can Express Ltd.,2015,Part-Time,Provincial,Alberta,Overall,4,3,1,0,1,0
5265,Alliance Pipeline Ltd.,2015,Full-Time,Provincial,Alberta,Overall,253,149,104,9,5,32
5348,Alliance Pipeline Ltd.,2015,Part-Time,Provincial,Alberta,Overall,3,0,3,0,0,0
5403,Alliance Pulse Processors Inc.,2015,Full-Time,Provincial,Saskatchewan,Overall,286,216,70,6,3,37
5506,Alliance Pulse Processors Inc.,2015,Part-Time,Provincial,Saskatchewan,Overall,7,5,2,0,0,0
5569,Alpine Aerotech LP,2015,Full-Time,Provincial,British Columbia,Overall,109,100,9,2,5,7
5611,Alpine Aerotech LP,2015,Part-Time,Provincial,British Columbia,Overall,1,0,1,0,0,0
5679,"American Airlines, Inc.",2015,Full-Time,Provincial,Ontario,Overall,82,33,49,1,6,29
5750,"American Airlines, Inc.",2015,Part-Time,Provincial,Ontario,Overall,67,24,43,0,2,35
5809,Amex Bank of Canada,2015,Full-Time,Provincial,Ontario,Overall,553,240,313,5,44,79
5880,Amex Bank of Canada,2015,Part-Time,Provincial,Ontario,Overall,1,0,1,0,0,0
5923,AMJ Campbell Inc.,2015,Full-Time,Provincial,Ontario,Overall,216,181,35,4,4,50
5956,AMJ Campbell Inc.,2015,Full-Time,Provincial,Alberta,Overall,216,184,32,15,6,13
6064,AMJ Campbell Inc.,2015,Part-Time,Provincial,Ontario,Overall,202,178,24,7,4,51
6093,AMJ Campbell Inc.,2015,Part-Time,Provincial,Alberta,Overall,66,53,13,4,1,3
6177,Apex Motor Express Inc.,2015,Full-Time,Provincial,Ontario,Overall,94,51,43,0,1,20
6215,Apex Motor Express Inc.,2015,Part-Time,Provincial,Ontario,Overall,22,1,21,0,0,7
6249,Archipelago Marine Research Ltd.,2015,Full-Time,Provincial,British Columbia,Overall,57,35,22,1,0,4
6287,Archipelago Marine Research Ltd.,2015,Part-Time,Provincial,British Columbia,Overall,3,1,2,0,1,0
6313,Archipelago Marine Research Ltd.,2015,Temporary,Provincial,British Columbia,Overall,69,38,31,6,2,1
6375,Ardent Mills,2015,Full-Time,Provincial,Saskatchewan,Overall,161,151,10,5,4,13
6453,Armour Transport Inc.,2015,Full-Time,Provincial,Nova Scotia,Overall,90,88,2,3,6,1
6470,Armour Transport Inc.,2015,Full-Time,Provincial,New Brunswick,Overall,303,285,18,5,21,7
6507,Armour Transport Inc.,2015,Full-Time,Provincial,Newfoundland and Labrador,Overall,89,85,4,4,8,2
6541,Armour Transport Inc.,2015,Part-Time,Provincial,Nova Scotia,Overall,5,5,0,0,0,1
6546,Armour Transport Inc.,2015,Part-Time,Provincial,New Brunswick,Overall,21,21,0,0,1,0
6551,Armour Transport Inc.,2015,Part-Time,Provincial,Newfoundland and Labrador,Overall,3,3,0,0,0,0
6597,Arnold Bros. Transport Ltd.,2015,Full-Time,Provincial,Manitoba,Overall,172,139,33,7,2,32
6704,Arnold Bros. Transport Ltd.,2015,Part-Time,Provincial,Manitoba,Overall,13,10,3,2,1,0
6755,Association des employeurs maritimes,2015,Full-Time,Provincial,Ontario,Overall,175,173,2,2,4,3
6760,Association des employeurs maritimes,2015,Full-Time,Provincial,Québec,Overall,1172,1078,94,4,32,58
6840,ATCO Structures & Logistics,2015,Full-Time,Provincial,Ontario,Overall,115,82,33,3,5,8
6889,ATCO Structures & Logistics,2015,Full-Time,Provincial,Saskatchewan,Overall,159,89,70,16,5,42
6938,ATCO Structures & Logistics,2015,Full-Time,Provincial,Alberta,Overall,895,619,276,27,24,253
7061,ATCO Structures & Logistics,2015,Part-Time,Provincial,Ontario,Overall,2,1,1,0,0,0
7066,ATCO Structures & Logistics,2015,Part-Time,Provincial,Alberta,Overall,6,3,3,0,0,0
7137,ATI Telecom International Co.,2015,Full-Time,Provincial,Québec,Overall,95,94,1,0,0,2
7178,ATI Telecom International Co.,2015,Full-Time,Provincial,British Columbia,Overall,417,359,58,10,3,61
7223,ATI Telecom International Co.,2015,Full-Time,Provincial,Saskatchewan,Overall,56,54,2,1,2,12
7252,ATI Telecom International Co.,2015,Full-Time,Provincial,Alberta,Overall,203,196,7,0,1,43
7408,ATI Telecom International Co.,2015,Part-Time,Provincial,Québec,Overall,4,3,1,0,0,0
7417,ATI Telecom International Co.,2015,Part-Time,Provincial,British Columbia,Overall,8,5,3,0,0,1
7438,ATI Telecom International Co.,2015,Part-Time,Provincial,Alberta,Overall,7,7,0,0,0,0
7514,Atlantic Towing Limited,2015,Full-Time,Provincial,Nova Scotia,Overall,95,91,4,1,0,0
7547,Atlantic Towing Limited,2015,Full-Time,Provincial,New Brunswick,Overall,114,99,15,2,7,0
7588,Atlantic Towing Limited,2015,Full-Time,Provincial,Newfoundland and Labrador,Overall,181,175,6,3,4,0
7703,Atlantica Diversified Transportation Systems Inc. (Inactive),2015,Full-Time,Provincial,New Brunswick,Overall,72,54,18,1,1,2
7761,Atlantica Diversified Transportation Systems Inc. (Inactive),2015,Part-Time,Provincial,New Brunswick,Overall,1,1,0,0,0,0
7807,ATS Andlauer Transportation Services LP.,2015,Full-Time,Provincial,Ontario,Overall,231,166,65,5,7,58
7898,ATS Andlauer Transportation Services LP.,2015,Part-Time,Provincial,Ontario,Overall,10,6,4,0,0,0
7955,Autocars Orléans Express,2015,Full-Time,Provincial,Québec,Overall,112,107,5,0,1,4
8001,Aveda Transportation and Energy Services Inc.,2015,Full-Time,Provincial,Alberta,Overall,72,54,18,2,3,3
8095,Avmax Aviation Services Inc.,2015,Full-Time,Provincial,Alberta,Overall,285,215,70,8,6,72
8222,Avmax Aviation Services Inc.,2015,Part-Time,Provincial,Alberta,Overall,4,4,0,0,1,1
8269,AYR Motor Express Inc.,2015,Full-Time,Provincial,New Brunswick,Overall,224,200,24,3,11,4
8299,AYR Motor Express Inc.,2015,Part-Time,Provincial,New Brunswick,Overall,1,1,0,0,0,0
8387,B&R Eckel's Transport Ltd.,2015,Full-Time,Provincial,Alberta,Overall,397,333,64,27,12,22
8498,B&R Eckel's Transport Ltd.,2015,Part-Time,Provincial,Alberta,Overall,34,12,22,2,0,3
8569,Bandstra Transportation Systems Ltd,2015,Full-Time,Provincial,British Columbia,Overall,222,200,22,6,6,6
8627,Bandstra Transportation Systems Ltd,2015,Part-Time,Provincial,British Columbia,Overall,57,45,12,0,0,0
8681,"Bank of America National Association, Canada Branch",2015,Full-Time,Provincial,Ontario,Overall,228,121,107,1,4,116
8764,"Bank of America National Association, Canada Branch",2015,Part-Time,Provincial,Ontario,Overall,1,0,1,0,0,1
8827,Bank of Canada,2015,Full-Time,Provincial,Ontario,Overall,1268,647,621,17,21,267
8897,Bank of Canada,2015,Part-Time,Provincial,Ontario,Overall,16,2,14,1,0,0
8963,Bank of Montreal,2015,Full-Time,Provincial,Ontario,Overall,16644,7861,8783,162,613,7126
9012,Bank of Montreal,2015,Full-Time,Provincial,Québec,Overall,3582,1480,2102,29,126,821
9049,Bank of Montreal,2015,Full-Time,Provincial,Nova Scotia,Overall,326,130,196,6,18,24
9078,Bank of Montreal,2015,Full-Time,Provincial,New Brunswick,Overall,165,57,108,2,8,7
9099,Bank of Montreal,2015,Full-Time,Provincial,Manitoba,Overall,264,100,164,9,13,46
9124,Bank of Montreal,2015,Full-Time,Provincial,British Columbia,Overall,1799,700,1099,43,97,728
9157,Bank of Montreal,2015,Full-Time,Provincial,Saskatchewan,Overall,262,102,160,7,8,62
9182,Bank of Montreal,2015,Full-Time,Provincial,Alberta,Overall,1514,544,970,34,50,402
9219,Bank of Montreal,2015,Full-Time,Provincial,Newfoundland and Labrador,Overall,169,35,134,16,8,5
9520,Bank of Montreal,2015,Part-Time,Provincial,Ontario,Overall,1189,263,926,20,51,295
9553,Bank of Montreal,2015,Part-Time,Provincial,Québec,Overall,568,135,433,7,20,83
9582,Bank of Montreal,2015,Part-Time,Provincial,Nova Scotia,Overall,54,11,43,3,0,4
9599,Bank of Montreal,2015,Part-Time,Provincial,New Brunswick,Overall,55,5,50,0,4,5
9612,Bank of Montreal,2015,Part-Time,Provincial,Manitoba,Overall,39,4,35,5,1,6
9629,Bank of Montreal,2015,Part-Time,Provincial,British Columbia,Overall,455,103,352,15,22,155
9658,Bank of Montreal,2015,Part-Time,Provincial,Saskatchewan,Overall,71,9,62,2,0,14
9675,Bank of Montreal,2015,Part-Time,Provincial,Alberta,Overall,300,57,243,9,4,79
9700,Bank of Montreal,2015,Part-Time,Provincial,Newfoundland and Labrador,Overall,43,6,37,4,0,0
9913,Banque Laurentienne du Canada,2015,Full-Time,Provincial,Ontario,Overall,738,345,393,2,9,395
9950,Banque Laurentienne du Canada,2015,Full-Time,Provincial,Québec,Overall,2130,812,1318,9,11,427
10086,Banque Laurentienne du Canada,2015,Part-Time,Provincial,Ontario,Overall,3,2,1,0,0,1
10091,Banque Laurentienne du Canada,2015,Part-Time,Provincial,Québec,Overall,433,72,361,3,0,115
10178,Banque Nationale du Canada,2015,Full-Time,Provincial,Ontario,Overall,1129,483,646,11,16,369
10215,Banque Nationale du Canada,2015,Full-Time,Provincial,Québec,Overall,10280,4373,5907,81,166,1936
10252,Banque Nationale du Canada,2015,Full-Time,Provincial,New Brunswick,Overall,146,50,96,3,1,2
10285,Banque Nationale du Canada,2015,Full-Time,Provincial,Alberta,Overall,117,66,51,1,3,29
10470,Banque Nationale du Canada,2015,Part-Time,Provincial,Ontario,Overall,252,37,215,5,4,50
10491,Banque Nationale du Canada,2015,Part-Time,Provincial,Québec,Overall,2167,262,1905,30,51,229
10524,Banque Nationale du Canada,2015,Part-Time,Provincial,New Brunswick,Overall,76,2,74,1,1,1
10533,Banque Nationale du Canada,2015,Part-Time,Provincial,Alberta,Overall,14,1,13,0,1,7
10707,Bearskin Lake Air Service LP.,2015,Full-Time,Provincial,Ontario,Overall,136,89,47,5,3,6
10773,Bearskin Lake Air Service LP.,2015,Part-Time,Provincial,Ontario,Overall,33,7,26,4,3,2
10935,Bell Canada,2015,Full-Time,Provincial,Ontario,Overall,16437,10034,6403,319,703,3955
11072,Bell Canada,2015,Full-Time,Provincial,Québec,Overall,9434,5485,3949,136,296,1318
11201,Bell Canada,2015,Full-Time,Provincial,Nova Scotia,Overall,1521,942,579,36,83,79
11310,Bell Canada,2015,Full-Time,Provincial,New Brunswick,Overall,1398,902,496,27,37,41
11407,Bell Canada,2015,Full-Time,Provincial,Manitoba,Overall,161,97,64,8,8,15
11464,Bell Canada,2015,Full-Time,Provincial,British Columbia,Overall,931,612,319,16,44,269
11573,Bell Canada,2015,Full-Time,Provincial,Prince Edward Island,Overall,168,102,66,1,5,2
11614,Bell Canada,2015,Full-Time,Provincial,Saskatchewan,Overall,146,92,54,3,3,12
11663,Bell Canada,2015,Full-Time,Provincial,Alberta,Overall,747,483,264,26,36,138
11772,Bell Canada,2015,Full-Time,Provincial,Newfoundland and Labrador,Overall,972,615,357,37,31,21
12682,Bell Canada,2015,Part-Time,Provincial,Ontario,Overall,1574,1011,563,36,63,424
12743,Bell Canada,2015,Part-Time,Provincial,Québec,Overall,1348,884,464,17,28,288
12812,Bell Canada,2015,Part-Time,Provincial,Nova Scotia,Overall,177,102,75,12,14,25
12837,Bell Canada,2015,Part-Time,Provincial,New Brunswick,Overall,55,27,28,3,6,5
12858,Bell Canada,2015,Part-Time,Provincial,Manitoba,Overall,83,62,21,7,1,23
12887,Bell Canada,2015,Part-Time,Provincial,British Columbia,Overall,415,250,165,11,8,138
12916,Bell Canada,2015,Part-Time,Provincial,Prince Edward Island,Overall,14,11,3,0,0,2
12921,Bell Canada,2015,Part-Time,Provincial,Saskatchewan,Overall,67,37,30,5,2,14
12938,Bell Canada,2015,Part-Time,Provincial,Alberta,Overall,441,287,154,19,28,157
12963,Bell Canada,2015,Part-Time,Provincial,Newfoundland and Labrador,Overall,111,64,47,7,14,8
13389,Bell ExpressVu Limited Partnership (Inactive),2015,Full-Time,Provincial,Ontario,Overall,16437,10034,6403,319,703,3955
13526,Bell ExpressVu Limited Partnership (Inactive),2015,Full-Time,Provincial,Québec,Overall,9434,5485,3949,136,296,1318
13655,Bell ExpressVu Limited Partnership (Inactive),2015,Full-Time,Provincial,Nova Scotia,Overall,1521,942,579,36,83,79
13764,Bell ExpressVu Limited Partnership (Inactive),2015,Full-Time,Provincial,New Brunswick,Overall,1398,902,496,27,37,41
13861,Bell ExpressVu Limited Partnership (Inactive),2015,Full-Time,Provincial,Manitoba,Overall,161,97,64,8,8,15
13918,Bell ExpressVu Limited Partnership (Inactive),2015,Full-Time,Provincial,British Columbia,Overall,931,612,319,16,44,269
14027,Bell ExpressVu Limited Partnership (Inactive),2015,Full-Time,Provincial,Prince Edward Island,Overall,168,102,66,1,5,2
14068,Bell ExpressVu Limited Partnership (Inactive),2015,Full-Time,Provincial,Saskatchewan,Overall,146,92,54,3,3,12
14117,Bell ExpressVu Limited Partnership (Inactive),2015,Full-Time,Provincial,Alberta,Overall,747,483,264,26,36,138
14226,Bell ExpressVu Limited Partnership (Inactive),2015,Full-Time,Provincial,Newfoundland and Labrador,Overall,972,615,357,37,31,21
15136,Bell ExpressVu Limited Partnership (Inactive),2015,Part-Time,Provincial,Ontario,Overall,1574,1011,563,36,63,424
15197,Bell ExpressVu Limited Partnership (Inactive),2015,Part-Time,Provincial,Québec,Overall,1348,884,464,17,28,288
15266,Bell ExpressVu Limited Partnership (Inactive),2015,Part-Time,Provincial,Nova Scotia,Overall,177,102,75,12,14,25
15291,Bell ExpressVu Limited Partnership (Inactive),2015,Part-Time,Provincial,New Brunswick,Overall,55,27,28,3,6,5
15312,Bell ExpressVu Limited Partnership (Inactive),2015,Part-Time,Provincial,Manitoba,Overall,83,62,21,7,1,23
15341,Bell ExpressVu Limited Partnership (Inactive),2015,Part-Time,Provincial,British Columbia,Overall,415,250,165,11,8,138
15370,Bell ExpressVu Limited Partnership (Inactive),2015,Part-Time,Provincial,Prince Edward Island,Overall,14,11,3,0,0,2
15375,Bell ExpressVu Limited Partnership (Inactive),2015,Part-Time,Provincial,Saskatchewan,Overall,67,37,30,5,2,14
15392,Bell ExpressVu Limited Partnership (Inactive),2015,Part-Time,Provincial,Alberta,Overall,441,287,154,19,28,157
15417,Bell ExpressVu Limited Partnership (Inactive),2015,Part-Time,Provincial,Newfoundland and Labrador,Overall,111,64,47,7,14,8
15723,Bell Solutions Techniques Inc.,2015,Full-Time,Provincial,Ontario,Overall,1773,1694,79,32,47,377
15748,Bell Solutions Techniques Inc.,2015,Full-Time,Provincial,Québec,Overall,1259,1192,67,48,19,255
15832,Bell Solutions Techniques Inc.,2015,Part-Time,Provincial,Ontario,Overall,614,596,18,6,8,113
15841,Bell Solutions Techniques Inc.,2015,Part-Time,Provincial,Québec,Overall,406,404,2,8,3,154
15881,Bell Solutions Techniques Inc.,2015,Temporary,Provincial,Ontario,Overall,986,969,17,16,14,122
15894,Bell Solutions Techniques Inc.,2015,Temporary,Provincial,Québec,Overall,649,631,18,5,4,158
16004,Bessette & Boudreau Inc.,2015,Full-Time,Provincial,Québec,Overall,150,130,20,0,0,1
16094,Big Freight Systems Inc.,2015,Full-Time,Provincial,Manitoba,Overall,190,161,29,13,3,31
16217,Big Freight Systems Inc.,2015,Part-Time,Provincial,Manitoba,Overall,6,6,0,1,1,0
16304,Bison Transport Inc.,2015,Full-Time,Provincial,Ontario,Overall,198,179,19,4,9,18
16345,Bison Transport Inc.,2015,Full-Time,Provincial,Manitoba,Overall,773,609,164,51,43,113
16398,Bison Transport Inc.,2015,Full-Time,Provincial,British Columbia,Overall,145,133,12,3,8,32
16435,Bison Transport Inc.,2015,Full-Time,Provincial,Alberta,Overall,500,450,50,11,14,128
16738,Bison Transport Inc.,2015,Part-Time,Provincial,Ontario,Overall,14,13,1,1,1,2
16759,Bison Transport Inc.,2015,Part-Time,Provincial,Manitoba,Overall,59,48,11,5,3,6
16796,Bison Transport Inc.,2015,Part-Time,Provincial,British Columbia,Overall,28,28,0,1,1,7
16805,Bison Transport Inc.,2015,Part-Time,Provincial,Alberta,Overall,45,45,0,1,3,12
16920,Blackburn Radio Inc.,2015,Full-Time,Provincial,Ontario,Overall,166,91,75,0,9,4
16962,Blackburn Radio Inc.,2015,Part-Time,Provincial,Ontario,Overall,6,2,4,0,1,0
17000,Blue Ant Media Inc.,2015,Full-Time,Provincial,Ontario,Overall,170,85,85,0,7,44
17091,BNP Paribas,2015,Full-Time,Provincial,Québec,Overall,392,203,189,0,2,120
17174,BNP Paribas,2015,Part-Time,Provincial,Québec,Overall,4,0,4,0,0,0
17261,Bradley Air Services Limited,2015,Full-Time,Provincial,Ontario,Overall,388,237,151,13,4,53
17310,Bradley Air Services Limited,2015,Full-Time,Provincial,Northwest Territories,Overall,224,169,55,13,3,24
17347,Bradley Air Services Limited,2015,Full-Time,Provincial,Nunavut,Overall,209,165,44,42,3,14
17413,Bradley Air Services Limited,2015,Part-Time,Provincial,Ontario,Overall,62,24,38,6,0,18
17438,Bradley Air Services Limited,2015,Part-Time,Provincial,Northwest Territories,Overall,40,15,25,11,1,4
17451,Bradley Air Services Limited,2015,Part-Time,Provincial,Nunavut,Overall,75,46,29,43,2,7
17517,Bragg Communications Inc.,2015,Full-Time,Provincial,Ontario,Overall,157,132,25,7,3,1
17562,Bragg Communications Inc.,2015,Full-Time,Provincial,Nova Scotia,Overall,1060,634,426,30,31,84
17685,Bragg Communications Inc.,2015,Part-Time,Provincial,Ontario,Overall,9,4,5,0,0,0
17698,Bragg Communications Inc.,2015,Part-Time,Provincial,Nova Scotia,Overall,48,29,19,1,0,4
17761,Brasseur Transport Inc. (Inactive),2015,Full-Time,Provincial,Québec,Overall,89,76,13,0,0,0
17808,Brasseur Transport Inc. (Inactive),2015,Part-Time,Provincial,Québec,Overall,10,10,0,0,0,0
17859,Brett-Young Seeds Limited,2015,Full-Time,Provincial,Manitoba,Overall,77,67,10,7,1,10
17909,Brett-Young Seeds Limited,2015,Part-Time,Provincial,Manitoba,Overall,2,1,1,0,1,0
17919,Brett-Young Seeds Limited,2015,Temporary,Provincial,Manitoba,Overall,31,17,14,0,5,12
17957,Brian Kurtz Trucking Ltd.,2015,Full-Time,Provincial,Ontario,Overall,119,99,20,4,7,2
18003,Brian Kurtz Trucking Ltd.,2015,Part-Time,Provincial,Ontario,Overall,9,8,1,0,1,0
18049,Bridgewater Bank,2015,Full-Time,Provincial,Alberta,Overall,114,45,69,0,0,0
18128,Bridgewater Bank,2015,Part-Time,Provincial,Alberta,Overall,7,2,5,0,0,0
18199,Brink's Canada Limited,2015,Full-Time,Provincial,Ontario,Overall,747,550,197,14,5,134
18244,Brink's Canada Limited,2015,Full-Time,Provincial,Québec,Overall,122,112,10,1,1,8
18277,Brink's Canada Limited,2015,Full-Time,Provincial,British Columbia,Overall,174,133,41,3,2,49
18306,Brink's Canada Limited,2015,Full-Time,Provincial,Alberta,Overall,215,162,53,9,1,39
18529,Brink's Canada Limited,2015,Part-Time,Provincial,Ontario,Overall,316,246,70,6,1,68
18554,Brink's Canada Limited,2015,Part-Time,Provincial,Québec,Overall,64,55,9,0,0,2
